Topic,Words,Frequency,Timestamp,Custom_Name_GenAI
80,"tracking, tracking number, number, order, day",154,2018-02-14 07:22:04.800,Tracking Number Concerns
81,"guide, would, tutorial, thanks, outdated",52,2018-02-14 07:22:04.800,Guide Topic or Tutorial Help or Out
82,"bir, xpress dispatch, xpress, dispatch, bu",51,2018-02-14 07:22:04.800,bu bir kai
83,"rc, mxe, gm, dck, gm gm",82,2018-02-14 07:22:04.800,RC Sources
84,"cash, btc, bitcoin, coinbase, buy",173,2018-02-14 07:22:04.800,Crypto Purchase Methods
85,"olympus, print, nex, rlower, market",45,2018-02-14 07:22:04.800,Olympus Market
86,"log, logged, logging, login, page",57,2018-02-14 07:22:04.800,Logging and Session Issues
87,"vacation, vacation mode, mode, back, barbasanchez",47,2018-02-14 07:22:04.800,Vacation Mode
88,"message, contact, support, email, send",108,2018-02-14 07:22:04.800,Message;Email Support
89,"post, mod, comment, sub, thread",217,2018-02-14 07:22:04.800,Moderation and Deletion of Posts
90,"xmr, wallet, deposit, euro, monero",60,2018-02-14 07:22:04.800,XMR Wallet Issue
91,"image, exif, upload, exif data, data",59,2018-02-14 07:22:04.800,Image Exif Data Upload
92,"back, hope, good, welcome back, luck",351,2018-02-14 07:22:04.800,hope recovery
93,"review, template, pic, picture, link",84,2018-02-14 07:22:04.800,Review templates and images
94,"cheer, cheer cheer, mate, cheer mate, know",47,2018-02-14 07:22:04.800,Cheer Positivity Justification
95,"bulk, price, good, vendor, get",102,2018-02-14 07:22:04.800,Bulk Kratom Vendors
96,"wallstreet, wall st, wall, st, wallstreetmarket",51,2018-02-14 07:22:04.800,Wallstreet Market Forum Links
97,"product, vendor, shipping, order, stealth",320,2018-02-14 07:22:04.800,Product Review
98,"listing, list, vendor, superlist, favorite",75,2018-02-14 07:22:04.800,Listing Management and Visibility
99,"fuck, nt, like, get, cunt",448,2018-02-14 07:22:04.800,Mom sex;Insults
100,"empire, market, exit, scam, vendor",182,2018-02-14 07:22:04.800,Empire Market
101,"protonmail, protonmailcom, email, proton, secmail",42,2018-02-14 07:22:04.800,Protonmail Alternatives
102,"wallet, node, gui, monero, remote node",66,2018-02-14 07:22:04.800,Monero Wallet Update
103,"multisig, market, transaction, escrow, wallet",48,2018-02-14 07:22:04.800,MultiSig Market Transactions
104,"bunk, bunk bar, bar, pack, hulk",63,2018-02-14 07:22:04.800,Bunk and Bar
105,"mg, benzo, benzos, alprazolam, alp",386,2018-02-14 07:22:04.800,Benzodiazepine use and abuse
106,"pelican, bird, pelicanvendor, bigbird, truth facts",25,2018-02-14 07:22:04.800,Pelican Bird Giveaway
107,"heinekenexpress, link heinekenexpress, heinekenexpress link, heinekenexpress heinekenexpress, heinekenexpress heinekenexpress link",41,2018-02-14 07:22:04.800,Heineken Express Reviews
108,"rdp, sock, card, cc, masterclass",65,2018-02-14 07:22:04.800,RDP Socks for Carding
109,"dnm, link, lin, dm, dread",81,2018-02-14 07:22:04.800,DNM Reddit Subs
110,"pic, picture, photo, photoshop, post pic",72,2018-02-14 07:22:04.800,Pics and posts
111,"gold gold, gold, gold gold gold, empire, link",59,2018-02-14 07:22:04.800,Empire Market Links
112,"invite, invite code, code, need invite, get invite",29,2018-02-14 07:22:04.800,Darknet Market Invites
113,"samsara, unspent btc, unspent, btc, market",53,2018-02-14 07:22:04.800,Samsara Market
114,"vendor, chemical, test, know, nt",164,2018-02-14 07:22:04.800,Chemistry Research and Supply
115,"rapture, rapture market, market, link, rapturemarket",35,2018-02-14 07:22:04.800,Rapture Market GBP
116,"water, district, nt, like, acetone",271,2018-02-14 07:22:04.800,Acetone Recrystallization Techniques
117,"witchman, link, link witchman, witchman link, witchman witchman",43,2018-02-14 07:22:04.800,Link Witchman Discussion
118,"tochka, market, dream market, pgpkey, dream",32,2018-02-14 07:22:04.800,Tochka market
119,"post, know guy know, guy know guy, channel, know guy",368,2018-02-14 07:22:04.800,Read Post Discussion
120,"subdread, sub, post, link, subdreads",86,2018-02-14 07:22:04.800,Subdread creation issues
